Pair	Chromosome	First_SNP	Last_SNP	First_Genome_Pos	Last_Genome_Pos	Length	Number_of_SNPs
Tuscany-1;Palestinian-100	5	2645	2692	101641501	104703048	3061548	48
Tuscany-1;Palestinian-100	5	2647	2693	101704602	104777251	3072650	47
Tuscany-1;Palestinian-100	10	2252	2292	85143853	86423971	1280119	41
Tuscany-1;Palestinian-100	13	2108	2152	79572500	81576742	2004243	45
Tuscany-1;Palestinian-100	13	2113	2159	79921445	81681205	1759761	47
Tuscany-1;Palestinian-100	13	2114	2161	79999498	81721667	1722170	48
Tuscany-1;Yemenite-400	1	5118	5158	222322352	223925764	1603413	41
Tuscany-1;Yemenite-400	1	5123	5166	222470392	224232650	1762259	44
Tuscany-1;Yemenite-400	1	5126	5167	222711172	224251061	1539890	42
Tuscany-1;Yemenite-400	6	1152	1194	41962043	44021931	2059889	43
Tuscany-1;Yemenite-400	6	1153	1195	41979060	44036002	2056943	43
Tuscany-1;Yemenite-400	6	1155	1196	42031720	44138837	2107118	42
Tuscany-1;Yemenite-400	6	1156	1200	42034476	44327044	2292569	45
Tuscany-1;Yemenite-400	6	1157	1203	42047721	44351351	2303631	47
Tuscany-1;Yemenite-400	6	1158	1205	42090406	44632811	2542406	48
Tuscany-1;Yemenite-400	12	29	71	3198235	4449167	1250933	43
Tuscany-1;Hungary-600	2	1779	1819	64748674	65944558	1195885	41
Tuscany-1;Hungary-600	2	1780	1832	64776057	66461697	1685641	53
Tuscany-1;Hungary-600	5	2035	2076	76557224	77743635	1186412	42
Tuscany-1;Hungary-600	5	2036	2077	76597183	77798139	1200957	42
Tuscany-1;Hungary-600	5	2038	2078	76611507	77970910	1359404	41
Tuscany-1;Hungary-600	5	2627	2672	100976415	102389039	1412625	46
Tuscany-1;Hungary-600	5	2628	2673	101008725	102420526	1411802	46
Tuscany-1;Hungary-600	5	2629	2676	101095454	102767806	1672353	48
Tuscany-1;Hungary-600	5	2631	2677	101286296	102998809	1712514	47
Tuscany-1;Hungary-600	5	2637	2678	101457003	103125039	1668037	42
Tuscany-1;Crete-800	10	2091	2131	78884450	80743566	1859117	41
